,recording_session_label,image,num_of_presentation,fixation1,fixation2,fixation3,test_response
0,1,F46.jpg,3,8,9,9,-1
1,2,F46.jpg,3,7,7,6,-1
2,3,F46.jpg,3,7,11,8,0
3,4,F46.jpg,1,10,NA,NA,4
4,5,F46.jpg,3,10,9,8,0
5,6,F46.jpg,1,9,NA,NA,4
6,7,F46.jpg,3,12,12,9,-1
7,8,F46.jpg,3,10,9,8,-1
8,9,F46.jpg,3,11,11,6,0
9,10,F46.jpg,1,9,NA,NA,4
10,11,F46.jpg,3,11,13,11,1
11,12,F46.jpg,1,8,NA,NA,3
12,13,F46.jpg,3,7,7,7,-1
13,14,F46.jpg,3,7,4,8,-1
14,15,F46.jpg,3,10,8,8,2
15,16,F46.jpg,1,9,NA,NA,4
16,17,F46.jpg,3,9,6,2,0
17,18,F46.jpg,1,12,NA,NA,4
18,19,F46.jpg,3,9,10,8,-1
19,20,F46.jpg,3,7,9,9,-1
20,21,F46.jpg,3,13,13,12,0
21,22,F46.jpg,1,7,NA,NA,4
22,23,F46.jpg,3,11,8,8,0
23,24,F46.jpg,1,5,NA,NA,4
24,25,F46.jpg,3,9,8,11,-1
25,26,F46.jpg,3,9,9,9,-1
26,27,F46.jpg,3,8,10,7,0
27,28,F46.jpg,1,9,NA,NA,4
28,29,F46.jpg,3,12,10,9,0
29,30,F46.jpg,1,9,NA,NA,3
30,31,F46.jpg,3,10,13,7,-1
31,32,F46.jpg,3,7,8,5,-1
32,33,F46.jpg,3,7,10,9,0
33,34,F46.jpg,1,10,NA,NA,4
34,35,F46.jpg,3,11,10,9,0
35,36,F46.jpg,1,10,NA,NA,4
36,37,F46.jpg,3,6,11,8,-1
37,38,F46.jpg,3,10,11,11,-1
38,39,F46.jpg,3,13,12,12,1
39,40,F46.jpg,1,12,NA,NA,4
40,41,F46.jpg,3,8,6,4,0
41,42,F46.jpg,1,9,NA,NA,3
42,43,F46.jpg,3,10,9,9,-1
43,44,F46.jpg,3,6,8,12,-1
44,45,F46.jpg,3,9,9,9,0
45,46,F46.jpg,1,9,NA,NA,4
46,47,F46.jpg,3,9,10,9,1
47,48,F46.jpg,1,7,NA,NA,4
48,1,F173.jpg,1,7,NA,NA,4
49,2,F173.jpg,3,8,7,7,-1
50,3,F173.jpg,1,9,NA,NA,3
51,4,F173.jpg,3,12,9,10,1
52,5,F173.jpg,3,10,8,7,-1
53,6,F173.jpg,3,11,12,10,-1
54,7,F173.jpg,1,8,NA,NA,4
55,8,F173.jpg,3,7,5,8,0
56,9,F173.jpg,1,10,NA,NA,4
57,10,F173.jpg,3,10,9,10,-1
58,11,F173.jpg,3,8,2,9,-1
59,12,F173.jpg,3,8,5,7,-1
60,13,F173.jpg,1,7,NA,NA,4
61,14,F173.jpg,3,9,9,6,1
62,15,F173.jpg,1,6,NA,NA,4
63,16,F173.jpg,3,12,9,10,1
64,17,F173.jpg,3,10,9,13,-1
65,18,F173.jpg,3,8,3,9,-1
66,19,F173.jpg,1,10,NA,NA,4
67,20,F173.jpg,3,9,8,3,1
68,21,F173.jpg,1,12,NA,NA,4
69,22,F173.jpg,3,10,10,11,0
70,23,F173.jpg,3,8,9,10,-1
71,24,F173.jpg,3,10,8,9,-1
72,25,F173.jpg,1,8,NA,NA,3
73,26,F173.jpg,3,8,9,9,2
74,27,F173.jpg,1,7,NA,NA,4
75,28,F173.jpg,3,6,9,10,2
76,29,F173.jpg,3,11,14,11,-1
77,30,F173.jpg,3,5,5,5,-1
78,31,F173.jpg,1,10,NA,NA,4
79,32,F173.jpg,3,8,3,7,1
80,33,F173.jpg,1,7,NA,NA,4
81,34,F173.jpg,3,7,10,7,0
82,35,F173.jpg,3,11,12,11,-1
83,36,F173.jpg,3,13,13,12,-1
84,37,F173.jpg,1,7,NA,NA,3
85,38,F173.jpg,3,10,11,11,0
86,39,F173.jpg,1,12,NA,NA,4
87,40,F173.jpg,3,12,10,10,1
88,41,F173.jpg,3,9,8,8,-1
89,42,F173.jpg,3,8,8,5,-1
90,43,F173.jpg,1,10,NA,NA,4
91,44,F173.jpg,3,10,9,9,1
92,45,F173.jpg,1,9,NA,NA,4
93,46,F173.jpg,3,5,4,8,-1
94,47,F173.jpg,3,11,10,10,-1
95,48,F173.jpg,2,11,8,NA,-1
96,1,F107.jpg,3,8,8,7,2
97,2,F107.jpg,1,7,NA,NA,4
98,3,F107.jpg,3,9,9,9,-1
99,4,F107.jpg,3,11,8,10,-1
100,5,F107.jpg,1,10,NA,NA,3
101,6,F107.jpg,3,7,10,10,2
102,7,F107.jpg,3,9,8,10,0
103,8,F107.jpg,1,7,NA,NA,4
104,9,F107.jpg,3,10,6,9,-1
105,10,F107.jpg,3,8,8,8,-1
106,11,F107.jpg,1,9,NA,NA,3
107,12,F107.jpg,3,5,7,8,1
108,13,F107.jpg,3,7,6,6,0
109,14,F107.jpg,1,8,NA,NA,3
110,15,F107.jpg,3,9,6,3,-1
111,16,F107.jpg,3,10,9,6,-1
112,17,F107.jpg,1,9,NA,NA,4
113,18,F107.jpg,3,9,10,7,0
114,19,F107.jpg,3,10,6,8,1
115,20,F107.jpg,1,7,NA,NA,4
116,21,F107.jpg,3,12,9,12,-1
117,22,F107.jpg,3,11,9,9,-1
118,23,F107.jpg,1,4,NA,NA,4
119,24,F107.jpg,3,9,4,10,0
120,25,F107.jpg,3,9,6,7,0
121,26,F107.jpg,1,7,NA,NA,4
122,27,F107.jpg,3,5,6,5,-1
123,28,F107.jpg,3,8,3,10,-1
124,29,F107.jpg,1,9,NA,NA,-1
125,30,F107.jpg,3,7,7,8,2
126,31,F107.jpg,3,9,8,8,0
127,32,F107.jpg,1,5,NA,NA,4
128,33,F107.jpg,3,7,7,7,-1
129,34,F107.jpg,3,9,6,7,-1
130,35,F107.jpg,1,11,NA,NA,3
131,36,F107.jpg,3,13,11,12,1
132,37,F107.jpg,3,12,7,7,2
133,38,F107.jpg,1,11,NA,NA,4
134,39,F107.jpg,3,13,10,12,-1
135,40,F107.jpg,3,11,12,11,-1
136,41,F107.jpg,1,4,NA,NA,3
137,42,F107.jpg,3,7,8,8,0
138,43,F107.jpg,3,10,12,10,2
139,44,F107.jpg,1,8,NA,NA,3
140,45,F107.jpg,3,8,10,4,-1
141,46,F107.jpg,2,4,5,NA,-1
142,47,F107.jpg,1,7,NA,NA,4
143,48,F107.jpg,2,5,5,NA,2
144,1,F121.jpg,1,7,NA,NA,4
145,2,F121.jpg,3,8,8,7,1
146,3,F121.jpg,1,10,NA,NA,4
147,4,F121.jpg,3,8,9,10,0
148,5,F121.jpg,3,9,9,10,-1
149,6,F121.jpg,3,11,11,10,-1
150,7,F121.jpg,1,10,NA,NA,4
151,8,F121.jpg,3,7,6,5,0
152,9,F121.jpg,1,11,NA,NA,4
153,10,F121.jpg,3,9,9,10,0
154,11,F121.jpg,3,8,13,12,-1
155,12,F121.jpg,3,6,5,9,-1
156,13,F121.jpg,1,6,NA,NA,4
157,14,F121.jpg,3,4,8,7,0
158,15,F121.jpg,1,7,NA,NA,3
159,16,F121.jpg,3,9,10,6,1
160,17,F121.jpg,3,10,9,8,-1
161,18,F121.jpg,3,7,7,10,-1
162,19,F121.jpg,1,10,NA,NA,4
163,20,F121.jpg,3,7,9,11,1
164,21,F121.jpg,1,12,NA,NA,4
165,22,F121.jpg,3,11,11,11,0
166,23,F121.jpg,3,9,13,6,-1
167,24,F121.jpg,3,12,11,7,-1
168,25,F121.jpg,1,6,NA,NA,4
169,26,F121.jpg,3,10,9,5,1
170,27,F121.jpg,1,8,NA,NA,4
171,28,F121.jpg,3,6,9,6,2
172,29,F121.jpg,3,12,9,8,-1
173,30,F121.jpg,3,5,5,8,-1
174,31,F121.jpg,1,9,NA,NA,4
175,32,F121.jpg,3,6,4,5,2
176,33,F121.jpg,1,11,NA,NA,4
177,34,F121.jpg,3,10,8,11,0
178,35,F121.jpg,3,12,9,11,-1
179,36,F121.jpg,3,13,13,12,-1
180,37,F121.jpg,1,8,NA,NA,4
181,38,F121.jpg,3,9,11,12,0
182,39,F121.jpg,1,12,NA,NA,4
183,40,F121.jpg,3,12,10,9,1
184,41,F121.jpg,3,10,10,8,-1
185,42,F121.jpg,3,6,7,7,-1
186,43,F121.jpg,1,10,NA,NA,3
187,44,F121.jpg,3,8,10,8,0
188,45,F121.jpg,1,10,NA,NA,3
189,46,F121.jpg,3,9,7,7,1
190,47,F121.jpg,3,9,10,10,-1
191,48,F121.jpg,2,8,6,NA,-1
192,1,F129.jpg,1,7,NA,NA,4
193,2,F129.jpg,3,8,8,6,1
194,3,F129.jpg,1,10,NA,NA,4
195,4,F129.jpg,3,9,10,10,1
196,5,F129.jpg,3,9,8,8,-1
197,6,F129.jpg,3,12,9,11,-1
198,7,F129.jpg,1,12,NA,NA,4
199,8,F129.jpg,3,6,7,6,2
200,9,F129.jpg,1,9,NA,NA,4
201,10,F129.jpg,3,10,10,10,1
202,11,F129.jpg,3,9,7,13,-1
203,12,F129.jpg,3,9,9,5,-1
204,13,F129.jpg,1,8,NA,NA,4
205,14,F129.jpg,3,9,9,8,2
206,15,F129.jpg,1,8,NA,NA,4
207,16,F129.jpg,3,7,9,8,-1
208,17,F129.jpg,3,7,8,10,-1
209,18,F129.jpg,3,8,5,12,-1
210,19,F129.jpg,1,11,NA,NA,4
211,20,F129.jpg,3,9,7,6,2
212,21,F129.jpg,1,12,NA,NA,4
213,22,F129.jpg,3,8,10,12,2
214,23,F129.jpg,3,12,11,7,-1
215,24,F129.jpg,3,11,10,10,-1
216,25,F129.jpg,1,9,NA,NA,3
217,26,F129.jpg,3,8,4,8,1
218,27,F129.jpg,1,7,NA,NA,4
219,28,F129.jpg,3,9,9,6,2
220,29,F129.jpg,3,10,14,11,-1
221,30,F129.jpg,3,3,6,3,-1
222,31,F129.jpg,1,10,NA,NA,4
223,32,F129.jpg,3,5,5,7,2
224,33,F129.jpg,1,12,NA,NA,4
225,34,F129.jpg,3,8,7,8,0
226,35,F129.jpg,3,7,10,9,-1
227,36,F129.jpg,3,11,12,12,-1
228,37,F129.jpg,1,8,NA,NA,3
229,38,F129.jpg,3,13,9,9,0
230,39,F129.jpg,1,12,NA,NA,4
231,40,F129.jpg,3,12,11,11,1
232,41,F129.jpg,3,11,6,9,-1
233,42,F129.jpg,3,9,7,8,-1
234,43,F129.jpg,1,11,NA,NA,4
235,44,F129.jpg,3,10,9,8,1
236,45,F129.jpg,1,10,NA,NA,4
237,46,F129.jpg,3,9,5,3,1
238,47,F129.jpg,3,9,7,10,-1
239,48,F129.jpg,3,4,10,4,-1
240,1,F178.jpg,1,8,NA,NA,4
241,2,F178.jpg,3,9,8,9,0
242,3,F178.jpg,1,5,NA,NA,3
243,4,F178.jpg,3,12,9,10,0
244,5,F178.jpg,3,9,8,7,-1
245,6,F178.jpg,3,11,12,10,-1
246,7,F178.jpg,1,9,NA,NA,4
247,8,F178.jpg,3,6,9,6,0
248,9,F178.jpg,1,9,NA,NA,4
249,10,F178.jpg,3,11,11,11,1
250,11,F178.jpg,3,9,10,10,-1
251,12,F178.jpg,3,7,7,5,-1
252,13,F178.jpg,1,7,NA,NA,4
253,14,F178.jpg,3,5,7,8,0
254,15,F178.jpg,1,9,NA,NA,4
255,16,F178.jpg,3,11,9,9,1
256,17,F178.jpg,3,10,7,6,-1
257,18,F178.jpg,3,8,8,9,-1
258,19,F178.jpg,1,8,NA,NA,4
259,20,F178.jpg,3,7,9,8,0
260,21,F178.jpg,1,11,NA,NA,4
261,22,F178.jpg,3,11,12,9,0
262,23,F178.jpg,3,11,9,10,-1
263,24,F178.jpg,3,13,11,5,-1
264,25,F178.jpg,1,8,NA,NA,4
265,26,F178.jpg,3,10,9,8,0
266,27,F178.jpg,1,8,NA,NA,3
267,28,F178.jpg,3,9,9,7,0
268,29,F178.jpg,3,8,10,11,-1
269,30,F178.jpg,2,8,1,NA,-1
270,31,F178.jpg,1,10,NA,NA,3
271,32,F178.jpg,2,7,6,NA,1
272,33,F178.jpg,1,7,NA,NA,4
273,34,F178.jpg,3,7,8,5,0
274,35,F178.jpg,3,12,9,12,-1
275,36,F178.jpg,3,12,11,13,-1
276,37,F178.jpg,1,7,NA,NA,4
277,38,F178.jpg,3,8,12,11,0
278,39,F178.jpg,1,12,NA,NA,4
279,40,F178.jpg,3,10,10,10,0
280,41,F178.jpg,3,9,4,6,-1
281,42,F178.jpg,3,8,7,5,-1
282,43,F178.jpg,1,9,NA,NA,4
283,44,F178.jpg,3,9,11,8,0
284,45,F178.jpg,1,11,NA,NA,4
285,46,F178.jpg,3,8,5,7,1
286,47,F178.jpg,3,10,8,9,-1
287,48,F178.jpg,3,7,5,4,-1
288,1,F154.jpg,1,8,NA,NA,4
289,2,F154.jpg,3,9,8,11,0
290,3,F154.jpg,1,12,NA,NA,4
291,4,F154.jpg,3,11,11,7,0
292,5,F154.jpg,3,9,9,3,-1
293,6,F154.jpg,3,12,12,10,-1
294,7,F154.jpg,1,11,NA,NA,4
295,8,F154.jpg,3,5,7,4,2
296,9,F154.jpg,1,9,NA,NA,4
297,10,F154.jpg,3,9,11,11,0
298,11,F154.jpg,3,12,10,12,-1
299,12,F154.jpg,3,8,7,4,-1
300,13,F154.jpg,1,6,NA,NA,4
301,14,F154.jpg,3,6,7,6,0
302,15,F154.jpg,1,9,NA,NA,-1
303,16,F154.jpg,3,11,6,11,0
304,17,F154.jpg,3,11,10,5,-1
305,18,F154.jpg,3,8,10,8,-1
306,19,F154.jpg,1,11,NA,NA,4
307,20,F154.jpg,3,3,8,7,0
308,21,F154.jpg,1,11,NA,NA,4
309,22,F154.jpg,3,13,10,8,0
310,23,F154.jpg,3,9,10,10,-1
311,24,F154.jpg,3,13,2,13,-1
312,25,F154.jpg,1,7,NA,NA,4
313,26,F154.jpg,3,10,8,9,0
314,27,F154.jpg,1,7,NA,NA,4
315,28,F154.jpg,3,8,8,5,0
316,29,F154.jpg,3,9,11,12,-1
317,30,F154.jpg,2,9,9,NA,-1
318,31,F154.jpg,1,9,NA,NA,4
319,32,F154.jpg,3,5,4,6,2
320,33,F154.jpg,1,5,NA,NA,4
321,34,F154.jpg,3,6,9,8,0
322,35,F154.jpg,3,13,13,10,-1
323,36,F154.jpg,3,12,12,12,-1
324,37,F154.jpg,1,9,NA,NA,4
325,38,F154.jpg,3,12,15,10,0
326,39,F154.jpg,1,13,NA,NA,4
327,40,F154.jpg,3,11,13,10,0
328,41,F154.jpg,3,9,11,6,-1
329,42,F154.jpg,3,9,8,8,-1
330,43,F154.jpg,1,10,NA,NA,4
331,44,F154.jpg,3,12,10,10,1
332,45,F154.jpg,1,8,NA,NA,4
333,46,F154.jpg,3,9,9,6,1
334,47,F154.jpg,3,9,10,7,-1
335,48,F154.jpg,2,7,6,NA,-1
336,1,F153.jpg,1,7,NA,NA,4
337,2,F153.jpg,3,8,7,9,1
338,3,F153.jpg,1,11,NA,NA,4
339,4,F153.jpg,3,10,11,10,0
340,5,F153.jpg,3,10,7,11,-1
341,6,F153.jpg,3,8,12,11,-1
342,7,F153.jpg,1,13,NA,NA,4
343,8,F153.jpg,3,3,9,7,0
344,9,F153.jpg,1,9,NA,NA,4
345,10,F153.jpg,3,10,9,9,2
346,11,F153.jpg,3,9,13,12,-1
347,12,F153.jpg,3,8,4,6,-1
348,13,F153.jpg,1,6,NA,NA,4
349,14,F153.jpg,3,2,9,8,0
350,15,F153.jpg,1,12,NA,NA,4
351,16,F153.jpg,3,7,11,10,1
352,17,F153.jpg,3,9,10,9,-1
353,18,F153.jpg,3,9,7,6,-1
354,19,F153.jpg,1,10,NA,NA,4
355,20,F153.jpg,3,10,8,7,0
356,21,F153.jpg,1,12,NA,NA,4
357,22,F153.jpg,3,12,11,7,0
358,23,F153.jpg,3,12,11,10,-1
359,24,F153.jpg,3,14,10,7,-1
360,25,F153.jpg,1,6,NA,NA,3
361,26,F153.jpg,3,8,12,8,0
362,27,F153.jpg,1,8,NA,NA,4
363,28,F153.jpg,3,8,10,9,0
364,29,F153.jpg,3,10,11,11,-1
365,30,F153.jpg,3,6,8,8,-1
366,31,F153.jpg,1,10,NA,NA,4
367,32,F153.jpg,3,6,4,6,1
368,33,F153.jpg,1,8,NA,NA,4
369,34,F153.jpg,3,10,6,8,0
370,35,F153.jpg,3,10,5,10,-1
371,36,F153.jpg,3,10,12,13,-1
372,37,F153.jpg,1,8,NA,NA,4
373,38,F153.jpg,3,11,10,11,0
374,39,F153.jpg,1,12,NA,NA,4
375,40,F153.jpg,3,12,9,12,0
376,41,F153.jpg,3,9,9,8,-1
377,42,F153.jpg,3,8,10,10,-1
378,43,F153.jpg,1,10,NA,NA,3
379,44,F153.jpg,3,10,9,7,0
380,45,F153.jpg,1,8,NA,NA,4
381,46,F153.jpg,3,7,8,4,0
382,47,F153.jpg,3,10,11,11,-1
383,48,F153.jpg,3,6,4,7,-1
384,1,F57.jpg,3,10,9,9,-1
385,2,F57.jpg,3,9,7,8,-1
386,3,F57.jpg,3,11,7,7,2
387,4,F57.jpg,1,10,NA,NA,4
388,5,F57.jpg,3,7,8,3,-1
389,6,F57.jpg,1,12,NA,NA,4
390,7,F57.jpg,3,10,7,11,-1
391,8,F57.jpg,2,7,9,NA,-1
392,9,F57.jpg,3,11,11,8,0
393,10,F57.jpg,1,9,NA,NA,4
394,11,F57.jpg,3,11,9,10,2
395,12,F57.jpg,1,8,NA,NA,4
396,13,F57.jpg,3,8,10,7,-1
397,14,F57.jpg,3,7,2,10,-1
398,15,F57.jpg,3,8,8,8,1
399,16,F57.jpg,1,12,NA,NA,4
400,17,F57.jpg,3,8,9,9,1
401,18,F57.jpg,1,10,NA,NA,3
402,19,F57.jpg,3,12,8,8,-1
403,20,F57.jpg,3,9,4,8,-1
404,21,F57.jpg,3,11,11,12,0
405,22,F57.jpg,1,11,NA,NA,4
406,23,F57.jpg,3,9,11,10,1
407,24,F57.jpg,1,13,NA,NA,4
408,25,F57.jpg,3,9,10,6,-1
409,26,F57.jpg,3,8,10,10,-1
410,27,F57.jpg,3,9,8,7,1
411,28,F57.jpg,1,8,NA,NA,3
412,29,F57.jpg,3,12,11,12,0
413,30,F57.jpg,1,10,NA,NA,4
414,31,F57.jpg,3,11,8,10,-1
415,32,F57.jpg,3,5,2,8,-1
416,33,F57.jpg,3,8,9,8,0
417,34,F57.jpg,1,8,NA,NA,4
418,35,F57.jpg,3,11,11,11,0
419,36,F57.jpg,1,13,NA,NA,4
420,37,F57.jpg,3,7,9,10,-1
421,38,F57.jpg,3,10,10,11,-1
422,39,F57.jpg,3,11,13,12,0
423,40,F57.jpg,1,11,NA,NA,4
424,41,F57.jpg,3,7,7,7,1
425,42,F57.jpg,1,6,NA,NA,3
426,43,F57.jpg,3,8,9,10,-1
427,44,F57.jpg,3,9,10,10,-1
428,45,F57.jpg,3,8,5,10,0
429,46,F57.jpg,1,6,NA,NA,-1
430,47,F57.jpg,3,8,9,10,0
431,48,F57.jpg,1,3,NA,NA,4
432,1,F33.jpg,3,9,11,11,-1
433,2,F33.jpg,3,8,10,9,-1
434,3,F33.jpg,3,10,10,10,0
435,4,F33.jpg,1,11,NA,NA,4
436,5,F33.jpg,3,10,5,7,0
437,6,F33.jpg,1,9,NA,NA,4
438,7,F33.jpg,3,11,9,11,-1
439,8,F33.jpg,3,8,6,7,-1
440,9,F33.jpg,3,11,9,11,0
441,10,F33.jpg,1,11,NA,NA,4
442,11,F33.jpg,3,9,10,12,1
443,12,F33.jpg,1,7,NA,NA,4
444,13,F33.jpg,3,8,7,9,-1
445,14,F33.jpg,3,4,7,8,-1
446,15,F33.jpg,3,8,8,10,1
447,16,F33.jpg,1,10,NA,NA,4
448,17,F33.jpg,3,9,8,7,0
449,18,F33.jpg,1,8,NA,NA,4
450,19,F33.jpg,3,8,10,6,-1
451,20,F33.jpg,3,10,11,7,-1
452,21,F33.jpg,3,11,11,9,0
453,22,F33.jpg,1,10,NA,NA,4
454,23,F33.jpg,3,6,7,7,0
455,24,F33.jpg,1,10,NA,NA,4
456,25,F33.jpg,3,10,7,6,-1
457,26,F33.jpg,3,10,9,9,-1
458,27,F33.jpg,3,7,6,8,0
459,28,F33.jpg,1,7,NA,NA,4
460,29,F33.jpg,3,11,10,11,0
461,30,F33.jpg,1,10,NA,NA,3
462,31,F33.jpg,3,12,10,11,-1
463,32,F33.jpg,3,8,9,9,-1
464,33,F33.jpg,3,9,3,8,1
465,34,F33.jpg,1,11,NA,NA,4
466,35,F33.jpg,3,12,13,7,0
467,36,F33.jpg,1,12,NA,NA,4
468,37,F33.jpg,3,4,9,11,-1
469,38,F33.jpg,3,11,13,10,-1
470,39,F33.jpg,3,12,12,13,0
471,40,F33.jpg,1,10,NA,NA,4
472,41,F33.jpg,3,9,7,9,1
473,42,F33.jpg,1,9,NA,NA,3
474,43,F33.jpg,3,10,9,9,-1
475,44,F33.jpg,3,8,10,11,-1
476,45,F33.jpg,3,10,11,8,0
477,46,F33.jpg,1,8,NA,NA,3
478,47,F33.jpg,3,11,13,11,0
479,48,F33.jpg,1,6,NA,NA,4
480,1,F16.jpg,3,8,8,11,-1
481,2,F16.jpg,3,9,9,8,-1
482,3,F16.jpg,3,11,8,7,0
483,4,F16.jpg,1,10,NA,NA,4
484,5,F16.jpg,3,8,8,9,0
485,6,F16.jpg,1,9,NA,NA,4
486,7,F16.jpg,3,12,6,11,-1
487,8,F16.jpg,3,8,6,7,-1
488,9,F16.jpg,3,11,5,8,0
489,10,F16.jpg,1,9,NA,NA,4
490,11,F16.jpg,3,12,6,13,1
491,12,F16.jpg,1,10,NA,NA,4
492,13,F16.jpg,3,10,9,8,-1
493,14,F16.jpg,3,5,6,6,-1
494,15,F16.jpg,3,11,10,9,0
495,16,F16.jpg,1,11,NA,NA,4
496,17,F16.jpg,3,8,8,8,2
497,18,F16.jpg,1,10,NA,NA,4
498,19,F16.jpg,3,12,10,9,-1
499,20,F16.jpg,3,8,9,11,-1
500,21,F16.jpg,3,9,12,11,0
501,22,F16.jpg,1,7,NA,NA,4
502,23,F16.jpg,3,10,8,9,0
503,24,F16.jpg,1,13,NA,NA,4
504,25,F16.jpg,3,5,5,6,-1
505,26,F16.jpg,3,10,9,5,-1
506,27,F16.jpg,3,9,8,7,1
507,28,F16.jpg,1,7,NA,NA,4
508,29,F16.jpg,3,11,11,9,0
509,30,F16.jpg,1,11,NA,NA,4
510,31,F16.jpg,3,10,9,12,-1
511,32,F16.jpg,3,6,7,7,-1
512,33,F16.jpg,3,9,11,6,0
513,34,F16.jpg,1,10,NA,NA,4
514,35,F16.jpg,3,13,13,11,0
515,36,F16.jpg,1,12,NA,NA,4
516,37,F16.jpg,3,6,3,11,-1
517,38,F16.jpg,3,10,9,11,-1
518,39,F16.jpg,3,12,11,13,0
519,40,F16.jpg,1,10,NA,NA,4
520,41,F16.jpg,3,7,5,9,-1
521,42,F16.jpg,1,9,NA,NA,3
522,43,F16.jpg,3,9,10,10,-1
523,44,F16.jpg,3,10,11,9,-1
524,45,F16.jpg,3,10,11,9,0
525,46,F16.jpg,1,3,NA,NA,3
526,47,F16.jpg,3,9,11,9,2
527,48,F16.jpg,1,5,NA,NA,3
528,1,F115.jpg,3,11,5,10,2
529,2,F115.jpg,1,9,NA,NA,4
530,3,F115.jpg,3,9,9,8,-1
531,4,F115.jpg,3,12,10,8,-1
532,5,F115.jpg,1,7,NA,NA,3
533,6,F115.jpg,3,10,10,10,0
534,7,F115.jpg,3,8,13,9,1
535,8,F115.jpg,1,7,NA,NA,3
536,9,F115.jpg,3,11,7,8,-1
537,10,F115.jpg,3,9,10,10,-1
538,11,F115.jpg,1,14,NA,NA,4
539,12,F115.jpg,3,4,4,9,1
540,13,F115.jpg,3,8,9,8,0
541,14,F115.jpg,1,6,NA,NA,3
542,15,F115.jpg,3,7,9,6,-1
543,16,F115.jpg,3,10,8,6,-1
544,17,F115.jpg,1,9,NA,NA,3
545,18,F115.jpg,3,6,9,8,1
546,19,F115.jpg,3,5,10,7,0
547,20,F115.jpg,1,4,NA,NA,4
548,21,F115.jpg,3,12,9,10,-1
549,22,F115.jpg,3,13,12,5,-1
550,23,F115.jpg,1,8,NA,NA,4
551,24,F115.jpg,3,11,4,11,1
552,25,F115.jpg,3,10,10,8,0
553,26,F115.jpg,1,8,NA,NA,4
554,27,F115.jpg,3,8,6,3,-1
555,28,F115.jpg,3,11,8,9,-1
556,29,F115.jpg,1,9,NA,NA,4
557,30,F115.jpg,3,8,2,8,2
558,31,F115.jpg,3,11,10,11,0
559,32,F115.jpg,1,7,NA,NA,4
560,33,F115.jpg,3,7,9,9,-1
561,34,F115.jpg,3,10,11,8,-1
562,35,F115.jpg,1,12,NA,NA,4
563,36,F115.jpg,3,13,12,14,0
564,37,F115.jpg,3,10,8,8,0
565,38,F115.jpg,1,11,NA,NA,4
566,39,F115.jpg,3,11,14,10,-1
567,40,F115.jpg,3,11,11,11,-1
568,41,F115.jpg,1,9,NA,NA,3
569,42,F115.jpg,3,11,8,7,0
570,43,F115.jpg,3,9,22,11,2
571,44,F115.jpg,1,7,NA,NA,4
572,45,F115.jpg,3,7,4,8,-1
573,46,F115.jpg,3,3,5,7,-1
574,47,F115.jpg,1,9,NA,NA,4
575,48,F115.jpg,2,5,3,NA,-1
576,1,F99.jpg,3,10,8,9,2
577,2,F99.jpg,1,6,NA,NA,4
578,3,F99.jpg,3,11,12,9,-1
579,4,F99.jpg,3,10,11,11,-1
580,5,F99.jpg,1,8,NA,NA,4
581,6,F99.jpg,3,11,10,8,0
582,7,F99.jpg,3,10,11,11,2
583,8,F99.jpg,1,9,NA,NA,3
584,9,F99.jpg,3,10,12,10,-1
585,10,F99.jpg,3,10,9,9,-1
586,11,F99.jpg,1,11,NA,NA,4
587,12,F99.jpg,3,6,9,9,0
588,13,F99.jpg,3,7,6,5,0
589,14,F99.jpg,1,11,NA,NA,3
590,15,F99.jpg,3,10,13,10,-1
591,16,F99.jpg,3,10,11,10,-1
592,17,F99.jpg,1,9,NA,NA,3
593,18,F99.jpg,3,11,7,9,1
594,19,F99.jpg,3,11,10,11,1
595,20,F99.jpg,1,8,NA,NA,4
596,21,F99.jpg,3,11,12,9,-1
597,22,F99.jpg,3,12,9,9,-1
598,23,F99.jpg,1,9,NA,NA,3
599,24,F99.jpg,3,15,5,13,0
600,25,F99.jpg,3,10,10,6,0
601,26,F99.jpg,1,10,NA,NA,3
602,27,F99.jpg,3,8,6,7,-1
603,28,F99.jpg,3,13,9,8,-1
604,29,F99.jpg,1,7,NA,NA,-1
605,30,F99.jpg,3,2,8,8,2
606,31,F99.jpg,3,13,11,11,0
607,32,F99.jpg,1,7,NA,NA,3
608,33,F99.jpg,3,9,6,8,-1
609,34,F99.jpg,3,9,9,9,-1
610,35,F99.jpg,1,10,NA,NA,4
611,36,F99.jpg,3,11,10,11,1
612,37,F99.jpg,3,7,8,7,2
613,38,F99.jpg,1,11,NA,NA,4
614,39,F99.jpg,3,12,12,12,-1
615,40,F99.jpg,3,12,12,11,-1
616,41,F99.jpg,1,8,NA,NA,3
617,42,F99.jpg,3,11,7,8,0
618,43,F99.jpg,3,13,16,10,1
619,44,F99.jpg,1,9,NA,NA,3
620,45,F99.jpg,3,7,8,7,-1
621,46,F99.jpg,3,5,8,8,-1
622,47,F99.jpg,1,9,NA,NA,4
623,48,F99.jpg,2,5,4,NA,2
624,1,F15.jpg,3,9,7,8,-1
625,2,F15.jpg,3,9,9,7,-1
626,3,F15.jpg,3,11,9,7,0
627,4,F15.jpg,1,11,NA,NA,4
628,5,F15.jpg,3,8,9,9,0
629,6,F15.jpg,1,11,NA,NA,4
630,7,F15.jpg,3,12,12,11,-1
631,8,F15.jpg,3,7,8,8,-1
632,9,F15.jpg,3,9,6,8,0
